Date,Name,Ceres_tag,ID,Latitude,Longitude,Site,Tree,Sex,Age,Mass_kg,Body_score,Head_length,Head_width,Joey,Joey_sex,Joey_age,End_date
29/08/2023,Alicia,2214B2488,0-3708598,-27.670636,151.662895,Loveday Rd,E. coolibah,F,2,4.84,7,116.4,63.6,,,,24-May-24
7/06/2023,Angelina,9.99E+14,0-3601708,-27.71963276,151.5205531,Yarranlea,Poplar box,F,8,5.51,6,128.1,68.6,No,,,29-Sep-23
10/04/2024,Angelina,2214B1175,0-3707233-Angelina,-27.721027,151.524265,Yarranlea,Poplar Box,F,9,5.42,8,,,NA,NA,NA,
6/06/2023,Anne,2214B1252,0-3707312,-27.796427,151.548718,Kincora,Poplar box,F,14,7.29,7,140.3,73.9,Yes,Female,4,
10/04/2024,Banshee,2214B1416,0-3707472,-28.183094,151.170711,Canning Creek,Poplar Box,F,4,6.15,8,,,Approx 3 months,,3,13-Apr-24
13/03/2024,Brook,2214B0472,0-3706530,-27.68795,151.65079,South brook,,F,5,6,4,,,,,,18-May-24
9/04/2024,Buddha,2214B1430,0-3707485,-28.185005,151.176191,Canning Creek,Blue gum,M,4,7.72,7,,,NA,NA,NA,
12/04/2024,Canning,2214B1806,0-3707861,-28.193223,151.186837,Canning Creek,River red gum,M,5,8,7,165,,,,,24-Apr-24
6/06/2023,Chadwick,9.99E+14,0-Chadwick,-27.79405719,151.5519262,Kincora,Wilga,M,5,7.35,7,144,78.4,,,,25-Sep-23
12/04/2024,Creek,2214B2121,0-3708165,-28.201539,151.17989,Canning Creek,River red gum,F,5,6.73,7,,,,,,
6/06/2023,Eucalyptus,9.99E+14,0-3603105,-27.720414,151.529077,Yarranlea,Poplar box,F,15,6.02,6,,,Yes,Male,4,29-Nov-23
10/04/2024,Eucalyptus,2214B2733,0-3708836_Eucalyptus,-27.721935,151.529511,Yarranlea,Poplar box,F,16,6.17,7,,,Approc 30 days,F,1,
5/06/2023,Ferrell,2214B2821,0-3708922,-27.72452,151.531127,Yarranlea,Ironbark sp.,M,4,7.17,7,147.1,74.2,No,,,13-Mar-24
31/08/2023,Forrest,2214B2704,0-3708807,-28.19494832,151.164239,Bringalily,Blue gum,M,5.5,6.945,6,151.5,77.6,,,,31-Oct-23
29/08/2023,Geronimo,2214B2504,0-3708559,-27.806717,151.559914,Kincora,Poplar box,M,9,7.665,7,144.4,79,,,,18-Oct-23
5/06/2023,Hardy,2214B1135,Hardy,-27.79037381,151.5609518,Kincora,Poplar box,M,15,7.11,7,145.3,75.7,,,,9-Aug-23
29/08/2023,Hero,2214B2734,0-3708837,-27.67079058,151.6567554,Loveday Rd,Narrow-leaved ironbark,M,11,9.02,8,158.6,88.6,,,,30-Dec-23
