Koala_id, Angelina , Anne , Brook , Buddha , Canning , Chadwick , Creek , Eucalyptus , Ferrell , Forrest , Geronimo , Hardy , Hero , Holland , Kathy , Kay , Kenny , Kokoda , Lana , Laxmi , Lesa , Lily , Logan , Michelle , Millie , Murray ,Nicole1,Nicole2, Oscar , Sneaky , Speedy , Wayne1 , Wayne2 , Wendy1 , Wendy2 , Wilga , Willow , Wonka 
Angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddha,    ,    ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canning,    ,    ,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadwick,0,0.86,0,    ,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creek,    ,    ,0,0,0.12,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus,0.62,0,0,    ,    ,0,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrell,0.71,0,0,    ,    ,0,    ,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest,    ,    ,0,0.02,0,    ,0.06,    ,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geronimo,0,0.09,0,    ,    ,0.05,    ,0,0,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy,0,0.16,0,    ,    ,0.14,    ,0,0,    ,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,0,0,0.77,    ,    ,0,    ,0,0,    ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland,0.02,0,0,    ,    ,0,    ,0.01,0.01,    ,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kathy,0,    ,0,    ,    ,    ,    ,    ,0,    ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Kay,0,0,0,    ,    ,0,    ,0,0,    ,0,0,0,0,    ,,,,,,,,,,,,,,,,,,,,,,,
Kenny,0.45,0,0,    ,    ,0,    ,0.28,0.48,    ,0,0,0,0.08,0,0.37,,,,,,,,,,,,,,,,,,,,,,
Kokoda,0,0,0,    ,    ,0,    ,0,0,    ,0,0,0,0,    ,0.43,0.24,,,,,,,,,,,,,,,,,,,,,
Lana,0,0,0,    ,    ,0,    ,0.01,0,    ,0,0,0,0,0,0.65,0.5,0.61,,,,,,,,,,,,,,,,,,,,
Laxmi,0.73,0.74,0,0,0,0.74,0,0.72,0.66,0,0.18,0.36,0,0.71,0.18,0.76,0.45,0.74,0.74,,,,,,,,,,,,,,,,,,,
Lesa,0,0,0,    ,    ,0,    ,0,0,    ,0,0,0,0,0,0.02,0.15,0.02,0.21,0.86,,,,,,,,,,,,,,,,,,
Lily,0,0,0.66,    ,    ,0,    ,0,0,    ,0,0,0.69,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Logan,0,0,0,    ,    ,0,    ,0,0,    ,0,0,0,0,    ,0,0.09,0,0.75,0.81,0,0,,,,,,,,,,,,,,,,
Michelle,0,0,0,    ,    ,0,    ,0,0,    ,0.56,0.95,0,0,0,0,0,0,0,0.45,0,0,0,,,,,,,,,,,,,,,
Millie,    ,    ,0,0,0,    ,0,    ,    ,0,    ,    ,    ,    ,    ,    ,    ,    ,    ,0,    ,    ,    ,    ,,,,,,,,,,,,,,
Murray,0,0.15,0,    ,    ,0.56,    ,0,0,    ,0.11,0.05,0,0,    ,    ,0,    ,0,0.76,0,0,0,0,    ,,,,,,,,,,,,,
Nicole1,0.34,0,0,    ,    ,0,    ,0.37,0.44,    ,0,0,0,0.48,0.03,0.12,0.32,0.11,0,0.15,0,0,0.04,0, 1.762110e313 ,0,,,,,,,,,,,,
Nicole2,0.58,0.59,0.91,0,0,0.61,0,0.47,0.69,0,0.6,0.66,0.92,0.52,0.33,0.78,0.79,0.75,0.89,0.46,0.84,0.85,0.77,0.64,0,0.57,0.88,,,,,,,,,,,
Oscar,    ,    ,0,0,0,    ,0,    ,    ,0,    ,    ,    ,    ,    ,    ,    ,    ,    ,0,    ,    ,    ,    ,0,    ,    ,0,,,,,,,,,,
Sneaky,0,0,0.87,    ,    ,0,    ,0,0,    ,0,0,0.02,0,0,0,0,0,0,0,0,0.29,0,0,    ,0,0,0.92,    ,,,,,,,,,
Speedy,0,    ,0.91,    ,    ,    ,    ,    ,0,    ,0,0,0,    ,0,    ,0,    ,0,0.01,0,0.35,    ,0,    ,    ,0,0.92,    ,0.92,,,,,,,,
Wayne1,0.58,0,0,0,0,0,0,0.4,0.56,0,0.02,0.03,0,0.42,0.01,0.13,0.77,0.1,0.28,0.28,0.09,0,0.13,0.02,0,0,0.68,0.25,0,0,0,,,,,,,
Wayne2,0,0,0,    ,    ,0,    ,0,0,    ,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,    ,0,0,0.48,    ,0,0,0.01,,,,,,
Wendy1,0.82,0.86,0.8,0.04,0.04,0.87,0.03,0.68,0.81,0.03,0.9,0.93,0.79,0.63,0.61,0.72,0.95,0.68,0.87,0.93,0.85,0.77,0.75,0.91,0.04,0.8,0.88,0.92,0.04,0.79,0.78,0.98,0.83,,,,,
