Koala_id,Sex,Age,Body_mass,Season,Home_range,Distance,Cover,Pland,Pd,Area_mn,Frac_mn,Para_mn,Pafrac,Prox_mn,Enn_mn,Clumpy,Connect,Contag,Sinuos,Straight,Speed
Alicia,Female,2,4.84,Annual,19.38,95.4661728, Woody ,29.6651,32.8824,0.9022,1.3138,11171.3698,  ,523.0152,29.2487,0.9801,23.8095,52.3033,0.00303985,0.256932365,4.022796774
Angelina,Female,8,5.51,Annual,56.82,130.3580652, Woody ,28.5053,14.9542,1.9062,1.1531,1036.0609,  ,894.5361,30.4365,0.9805,11.1111,53.3639,0.003739647,0.014839425,5.641837512
Anne,Female,14,7.29,Annual,15.4,86.04718901, Woody ,33.5911,34.0865,0.9855,1.1561,1478.8864,  ,2177.7461,19.4239,0.9734,26.6667,48.7338,0.013524243,0.014456284,3.739887936
Brook,Female,5,6,Annual,109.84,81.4960058, Woody ,28.0633,15.223,1.8435,1.1682,4764.5982,1.2034,197.6188,16.905,0.9817,9.8039,54.2618,0.004048197,0.105184334,3.737455063
Buddha,Male,4,7.72,Annual,110.92,181.3997288, Woody ,100,3.8305,26.1063,1.1208,14026.3801,  ,282.4357,16.165,  ,66.6667,0,0.005706746,0.019379589,7.947324274
Canning,Male,5,8,Annual,69.75,137.5085527, Woody ,91.6801,5.2164,17.5752,1.1929,684.94,  ,1687.4389,20.6999,0.9492,33.3333,78.7117,0.005986174,0.282808593,7.4962502
Chadwick,Male,5,7.35,Annual,18.64,133.2516833, Woody ,29.0111,22.2775,1.3023,1.1727,1301.0298,  ,2498.465,11.6,0.9755,30,52.0506,0.006459698,0.039979521,5.607587283
Creek,Female,5,6.73,Annual,136.12,102.262251, Woody ,100,0.7375,135.601,1.0496,48.746,  ,0,  ,  ,0,0,0.006600595,0.003531827,4.282051818
Eucalyptus,Female,15,6.02,Annual,23.97,146.4575877, Woody ,27.976,37.0282,0.7555,1.1315,1407.2539,  ,683.2842,70.9287,0.9737,11.1111,52.8474,0.0087708,0.021051678,6.818363779
Ferrell,Male,4,7.17,Annual,54.54,182.6058473, Woody ,14.0738,16.3039,0.8632,1.1665,2832.593,1.2465,665.1712,40.2749,0.9776,8.8889,68.1424,0.036790393,0.031616145,7.660849386
